level	exp_to_next	mob_exp	sp_ratio	mob_sp	mobs_to_level	cumulative_mobs	source
1	68	68	1.0000	68	1	1	masterwork
2	295	148	0.9620	142	2	3	masterwork
3	805	268	0.9255	248	4	7	masterwork
4	1716	411	0.8903	366	5	12	masterwork
5	3154	631	0.8565	540	5	17	masterwork
6	5249	711	0.8240	586	8	25	masterwork
7	8136	802	0.7927	636	11	36	masterwork
8	11955	904	0.7626	689	14	50	masterwork
9	16851	1019	0.7336	748	17	67	masterwork
10	22973	1149	0.7058	811	20	87	masterwork
11	30475	1185	0.6790	805	26	113	masterwork
12	39516	1222	0.6532	798	33	146	masterwork
13	50261	1261	0.6284	792	40	186	masterwork
14	62876	1300	0.6045	786	49	235	masterwork
15	77537	1341	0.5816	780	58	293	masterwork
16	94421	1384	0.5595	774	69	362	masterwork
17	113712	1427	0.5382	768	80	442	masterwork
18	135596	1472	0.5178	762	93	535	masterwork
19	160266	1518	0.4981	756	106	641	masterwork
20	187922	1566	0.4792	750	121	762	masterwork
21	218762	1572	0.4610	725	140	902	masterwork
22	252997	1577	0.4435	699	161	1063	masterwork
23	290836	1583	0.4267	675	184	1247	masterwork
24	332497	1588	0.4105	652	210	1457	masterwork
25	378201	1594	0.3949	629	238	1695	masterwork
26	428173	1599	0.3799	607	268	1963	masterwork
27	482647	1605	0.3654	587	301	2264	masterwork
28	541857	1611	0.3516	566	337	2601	masterwork
29	606042	1616	0.3382	547	376	2977	masterwork
30	675450	1622	0.3254	528	417	3394	masterwork
31	750330	1804	0.3130	565	416	3810	masterwork
32	830937	2000	0.3011	602	416	4226	masterwork
33	917531	2209	0.2897	640	416	4642	masterwork
34	1010378	2434	0.2787	678	416	5058	masterwork
35	1109744	2674	0.2681	717	416	5474	masterwork
36	1215906	2930	0.2579	756	415	5889	masterwork
37	1329143	3202	0.2481	795	416	6305	masterwork
38	1449736	3491	0.2387	833	416	6721	masterwork
39	1577978	3798	0.2296	872	416	7137	masterwork
40	1714158	4123	0.2209	911	416	7553	masterwork
41	1858578	4466	0.2125	949	417	7970	masterwork
42	2011538	4829	0.2045	987	417	8387	masterwork
43	2173347	5212	0.1967	1025	417	8804	masterwork
44	2344318	5616	0.1892	1063	418	9222	masterwork
45	2524767	6040	0.1820	1100	419	9641	masterwork
46	2715019	6487	0.1751	1136	419	10060	masterwork
47	2915398	6955	0.1685	1172	420	10480	masterwork
48	3126237	7446	0.1621	1207	420	10900	masterwork
49	3347873	7961	0.1559	1241	421	11321	masterwork
50	5370971	8500	0.1500	1275	632	11953	masterwork
51	5737357	9064	0.1470	1332	633	12586	masterwork
52	6121498	9653	0.1440	1390	635	13221	masterwork
53	6523923	10268	0.1411	1449	636	13857	masterwork
54	6945178	10910	0.1383	1509	637	14494	masterwork
55	9847742	11579	0.1355	1569	851	15345	masterwork
56	10461823	12275	0.1328	1630	853	16198	masterwork
57	11103227	13001	0.1302	1692	855	17053	masterwork
58	11772715	13755	0.1275	1754	856	17909	masterwork
59	12471057	14539	0.1250	1817	858	18767	masterwork
60	19798547	15353	0.1225	1880	1290	20057	masterwork
61	20936137	16199	0.1200	1944	1293	21350	masterwork
62	22120557	17076	0.1176	2008	1296	22646	masterwork
63	23353014	17985	0.1152	2073	1299	23945	masterwork
64	24634736	18927	0.1129	2138	1302	25247	masterwork
65	34622619	19903	0.1107	2203	1740	26987	masterwork
66	36467935	20913	0.1084	2268	1744	28731	masterwork
67	38383956	21958	0.1063	2333	1749	30480	masterwork
68	40372393	23039	0.1041	2399	1753	32233	masterwork
69	42434976	24156	0.1020	2465	1757	33990	masterwork
70	44573456	25310	0.1000	2531	1762	35752	masterwork
71	58487000	26501	0.0955	2530	2207	37959	masterwork
72	73627796	27731	0.0912	2528	2656	40615	masterwork
73	90058594	28999	0.0871	2525	3106	43721	masterwork
74	107843995	30307	0.0831	2519	3559	47280	masterwork
75	127050464	31655	0.0794	2512	4014	51294	masterwork
76	220000006	33045	0.0758	2504	6658	57952	masterwork
77	360000000	34475	0.0724	2495	10443	68395	masterwork
78	588000000	35949	0.0691	2484	16357	84752	masterwork
79	2100724166	37465	0.0660	2472	56072	140824	masterwork
80	2100000000	39024	0.0630	2458	53814	194638	masterwork
81	2520000000	40629	0.0602	2444	62025	256663	masterwork
82	3024000000	42278	0.0574	2428	71527	328190	masterwork
83	3628800000	43973	0.0548	2412	82524	410714	masterwork
84	4354560000	45714	0.0524	2394	95257	505971	masterwork
85	5977044329	47502	0.0500	2375	125828	631799	masterwork
86	8207524971	49338	0.0500	2467	166354	798153	4game
87	10839148748	51223	0.0500	2561	211608	1009761	4game
88	14341344002	53157	0.0500	2658	269793	1279554	4game
89	19378851343	55141	0.0500	2757	351442	1630996	4game
90	24936584968	57175	0.0500	2859	436145	2067141	4game
91	31535749655	59261	0.0500	2963	532151	2599292	4game
92	36909329234	61399	0.0500	3070	601139	3200431	4game
93	51380258046	63590	0.0500	3180	807993	4008424	4game
94	58255218000	65834	0.0500	3292	884881	4893305	4game
95	111070429959	68132	0.0500	3407	1630225	6523530	4game
96	214951605018	70485	0.0500	3524	3049608	9573138	4game
97	423452255669	72894	0.0500	3645	5809152	15382290	4game
98	940673308350	75359	0.0500	3768	12482561	27864851	4game
99	3303754472044	77881	0.0500	3894	42420546	70285397	4game
100	5286007155270	80461	0.0500	4023	65696514	135981911	4game
