LEARN @ LVL, NAME,TYPE,RANGE,TARGET, CAST s,CD s,DURRATION s, DESCR, INIT MP,FINIT MP ,SP COST,REPLACES
20,Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +20, maxMP +20; Light: mpReg x1.2, pDef +20, cast x0.95;  Heavy: mpReg x1, as x0.8, cast x0.5",0,0,9600,[Robe mastery]
20,Anti magic,Passive,0,self,0,0,0,"magic def +20, mRes +5%",0,0,3200,[]
20,Spell Mastery,Passive,0,self,0,0,0,"Decreses the reuse delay with 10%, mAtk +6, pAtk +4",0,0,3200,[Weapon mastery]
20,Holy Bolt,Magic/Dmg,750,enemy,4,1,0,m.Atk +21,4,16,3200,[Magic Bolt]
20,Heal,Magic/Heal,600,self/target,5,2,0,heal with power 151,6,24,3200,[]
20,Quick Heal,Magic/Heal,600,self/target,2,1,0,heal with power 151,9,36,3200,[]
20,Party Heal,Magic/Heal,600,self/party,7,5,0,heal party with power 121,12,48,3200,[]
20,Might,Magic/Buff,600,self/target,1,1,1200,"P.Def +8%, P.Atk +12%",10,40,3200,[]
20,Force,Magic/Buff,600,selft/target,1,1,1200,decrese mafic cancel rate (here is -> decrease magic dmg by 18 <- I don’t know how it reflects at us),5,20,3200,[]
20,Speed,Magic/Buff,600,selft/target,1,1,1200,"Cast +15%, movement +20",10,40,3200,[]
25,Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +25, maxMP +20; Light: mpReg x1.2, pDef +25, cast x0.95;  Heavy: mpReg x1, as x0.8, cast x0.5",0,0,12800,[Robe mastery]
25,Anti magic,Passive,0,self,0,0,0,"magic def +25, mRes +5%",0,0,6400,[]
25,Spell Mastery,Passive,0,self,0,0,0,"Decreses the reuse delay with 10%, mAtk +8, pAtk +6, mpReg x1.1, cast speed x1.05",0,0,12800,[Weapon mastery]
25,Holy Bolt,Magic/Dmg,750,enemy,4,1,0,m.Atk +25,5,18,3200,[Magic Bolt]
25,Heal,Magic/Heal,600,self/target,5,2,0,heal with power 195,8,30,6400,[]
25,Quick Heal,Magic/Heal,600,self/target,2,1,0,heal with power 195,12,45,6400,[]
25,Party Heal,Magic/Heal,600,self/party,7,5,0,heal party with power 156,16,60,6400,[]
25,Might,Magic/Buff,600,self/target,1,1,1200,"P.Def +12%, P.Atk +12%",10,40,6400,[]
25,Force,Magic/Buff,600,selft/target,1,1,1200,"decrese mafic cancel rate (here is -> decrease magic dmg by 25 <- I don’t know how it reflects at us), M.Atk x1.55",10,40,6400,[]
25,Focus,Magic/Buff,600,self/target,1,1,1200,pCritChance x1.2,5,20,6400,[]
25,Speed,Magic/Buff,600,selft/target,1,1,1200,"Cast +15%, movement +20, pEvasion + 2",15,60,6400,[]
30,Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +30, maxMP +30; Light: mpReg x1.2, pDef +30, cast x0.95;  Heavy: mpReg x1, as x0.8, cast x0.5",0,0,12800,[Robe mastery]
30,Anti magic,Passive,0,self,0,0,0,"magic def +30, mRes +10%",0,0,12800,[]
30,Spell Mastery,Passive,0,self,0,0,0,"Decreses the reuse delay with 10%, mAtk +10, pAtk +8, mpReg x1.1, cast speed x1.05",0,0,12800,[Weapon mastery]
30,Holy Bolt,Magic/Dmg,750,enemy,4,1,0,m.Atk +30,6,20,12800,[Magic Bolt]
30,Heal,Magic/Heal,600,self/target,5,2,0,heal with power 245,9,35,12800,[]
30,Quick Heal,Magic/Heal,600,self/target,2,1,0,heal with power 245,13,52,12800,[]
30,Party Heal,Magic/Heal,600,self/party,7,5,0,heal party with power 196,18,76,12800,[]
30,Might,Magic/Buff,600,self/target,1,1,1200,"P.Def +12%, P.Atk +12%, basic Atk vamp (restores % dmg on mele hit - no skill/range) +8%",15,60,12800,[]
30,Speed,Magic/Buff,600,selft/target,1,1,1200,"Cast +15%, movement +33, pEvasion + 2",15,60,12800,[]
35,Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +35, maxMP +30; Light: mpReg x1.2, pDef +35, cast x0.95, evasion +2;  Heavy: mpReg x1, as x0.8, cast x0.5",0,0,25000,[Robe mastery]
35,Anti magic,Passive,0,self,0,0,0,"magic def +36, mRes +10%",0,0,25000,[]
35,Spell Mastery,Passive,0,self,0,0,0,"Decreses the reuse delay with 10%, mAtk +12, pAtk +10, mpReg x1.5,hpReg x1.1, cast speed x1.05",0,0,25000,[Weapon mastery]
35,Holy Bolt,Magic/Dmg,750,enemy,4,1,0,m.Atk +36,7,24,25000,[Magic Bolt]
35,Heal,Magic/Heal,600,self/target,5,2,0,heal with power 301,11,41,25000,[]
35,Quick Heal,Magic/Heal,600,self/target,2,1,0,heal with power 301,15,52,25000,[]
35,Party Heal,Magic/Heal,600,self/party,7,5,0,heal party with power 241,20,76,25000,[]
35,Body,Magic/Buff,600,selft/target,1,1,1200,HpReg X1.1,5,20,25000,[]
35,Frenzy,Magic/Buff,600,selft/target,1,1,1200,"MaxHP x0.7, MaxMp x0.7, pAtk x1.05, mAtk x1.1, cast x1.05, as x1.05, ms +5",25,100,25000,[]
35,Speed,Magic/Buff,600,selft/target,1,1,1200,"Cast +23%, movement +33, pEvasion + 2",15,60,25000,[]
