LEARN @ LVL, NAME,TYPE,RANGE,TARGET, CAST s,CD s,DURRATION s, DESCR, INIT MP,FINIT MP ,SP COST,REPLACES
20,Armor Mastery,passive,0,self,0,0,0,with light:  eva +6; with all mp x1.1 and p.def +19,0,0,1700,[]
20,Body Mastery,passive,0,slef,0,0,0,max hp + 60;,0,0,1700,[]
20,Two Handed Mastery,passive,0,self,0,0,0,with 2h sword/blunt: acc +3 eva -3; crit dmg +35; p.atk x1.3; p.atk +13; p.def x0.8,0,0,3400,[Weapon Mastery]
20,Strike,physical active,40,enemy,1,3,0,dmg with 105 power  - can double - require blunt/sword,20,0,3400,[]
24,Armor Mastery,passive,0,self,0,0,0,with light:  eva +8; with all mp x1.1 and p.def +21,0,0,3200,[]
24,Body Mastery,passive,0,slef,0,0,0,max hp + 60; hpReg x1.1,0,0,3200,[]
24,Two Handed Mastery,passive,0,self,0,0,0,with 2h sword/blunt: acc +6 eva -3; crit dmg +48; p.atk x1.5 p.atk +15;; p.def x0.8,0,0,6400,[Weapon Mastery]
24,Strike,physical active,40,enemy,1,3,0,dmg with 143 power  - can double - require blunt/sword,23,0,6400,[]
28,Armor Mastery,passive,0,self,0,0,0,with light:  eva +9; with all mp x1.1 and p.def +23,0,0,6000,[]
28,Body Mastery,passive,0,slef,0,0,0,max hp + 100; hpReg x1.1,0,0,6000,[]
28,Two Handed Mastery,passive,0,self,0,0,0,with 2h sword/blunt: acc +6 eva -3; crit dmg +64; p.atk x1.5; p.atk +17; p.def x0.8,0,0,12000,[Weapon Mastery]
28,Strike,physical active,40,enemy,1,3,0,dmg with 191 power  - can double - require blunt/sword,25,0,12000,[]
28,Battle Regeneration,pfysical buff,0,self,0.5,90,0,restores 10% of max hp,25,0,6000,[]
32,Armor Mastery,passive,0,self,0,0,0,with light:  eva +9; with all mp x1.1 and p.def +28,0,0,11000,[]
32,Body Mastery,passive,0,slef,0,0,0,max hp + 100; hpReg x1.6,0,0,11000,[]
32,Two Handed Mastery,passive,0,self,0,0,0,with 2h sword/blunt: acc +6 eva -3; crit dmg +84; p.atk x1.5; p.atk +20; p.def x0.8,0,0,22000,[Weapon Mastery]
32,Strike,physical active,40,enemy,1,3,0,dmg with 251 power  - can double - require blunt/sword,30,0,22000,[]
32,Battle Presence,pfysical buff,0,self,0.5,300,90,increase p.Atk x1.35; acc +2; can be used only when Hp is below 60% (once used even if hp is at 100% it still works only for activation need hp  <= 0.6) and cannot be used with Battle Defence; requres 2h sword/blunt;,20,0,11000,[]
36,Armor Mastery,passive,0,self,0,0,0,with light:  eva +9; with all mp x1.1 and p.def +32,0,0,20000,[]
36,Body Mastery,passive,0,slef,0,0,0,max hp + 150; hpReg x1.6,0,0,20000,[]
36,Two Handed Mastery,passive,0,self,0,0,0,with 2h sword/blunt: acc +6 eva -3; crit dmg +106; p.atk x1.5; p.atk +20; p.def x0.8,0,0,40000,[Weapon Mastery]
36,Strike,physical active,40,enemy,1,3,0,dmg with 326 power  - can double - require blunt/sword,35,0,40000,[]
36,Battle Defence,pfysical buff,0,self,0.5,300,90,increase p.Def x2; can be used only when Hp is below 60% (once used even if hp is at 100% it still works only for activation need hp  <= 0.6) and cannot be used with Battle Presence; ,20,0,20000,[]
