LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,Gold,SP Bottles,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,,,==== SP CONSUMATION PER LEVEL ====
,,,,,,,,,,,,,,,,,,,76 - 6.5kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,77 - 11kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,78 - 16kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,79 - 80kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,80 - 150kk SP + 10kk gold (New Skills/Ultimates)| Old-LvlUp -> 5kk Gold 
,,,,,,,,,,,,,,,,,,,81 - 200kk SP + 25kk gold (New Skills/Ultimates)| Old-LvlUp -> 7.5kk Gold 
,,,,,,,,,,,,,,,,,,,82 - 300kk SP + 50kk gold (New Skills/Ultimates)| Old-LvlUp -> 10kk Gold 
,,,,,,,,,,,,,,,,,,,83 - 500kk SP + 100kk gold (New Skills/Ultimates)| Old-LvlUp -> 15kk Gold 
,,,,,,,,,,,,,,,,,,,84 - 100kk gold + 2-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 30kk Gold 
,,,,,,,,,,,,,,,,,,,85 - 100kk gold + 5-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 50kk Gold 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,86 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,,87 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,,88 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,89 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,90 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1 SP bottle = 1kkk SP + 100kk Gold (sells back for 100kk; drinking returns the 1kkk SP and no gold)
,,,,,,,,,,,,,,,,,,,==================================
,,,,,,,,,,,,,,,,,,,----------------------------Armor Mastery----------------------------
76,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +15; crit rate resist + 35%; speed +12; mpReg +2.5; hpReg +6.0; p.def +72;",0,6.5kk,1kk
77,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +15; crit rate resist + 35%; speed +12; mpReg +2.5; hpReg +6.0; p.def +74;",0,11kk,1kk
78,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +16; crit rate resist + 35%; speed +12; mpReg +2.5; hpReg +6.0; p.def +76;",0,16kk,1kk
79,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +16; crit rate resist + 35%; speed +13; mpReg +2.5; hpReg +6.0; p.def +78;",0,80kk,1kk
80,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +17; crit rate resist + 35%; speed +13; mpReg +2.5; hpReg +6.0; p.def +80;",0,0,5kk
81,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +17; crit rate resist + 35%; speed +13; mpReg +2.5; hpReg +6.0; p.def +82;",0,0,7.5kk
82,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +18; crit rate resist + 35%; speed +14; mpReg +2.5; hpReg +6.0; p.def +84;",0,0,10kk
83,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +18; crit rate resist + 35%; speed +14; mpReg +2.5; hpReg +6.0; p.def +86;",0,0,15kk
84,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +18; crit rate resist + 35%; speed +14; mpReg +2.5; hpReg +6.0; p.def +88;",0,0,30kk
85,Armor Mastery,archer_armor_mastery,passive,,light,0,0,self/single,0,0,0,"eva +19; crit rate resist + 35%; speed +15; mpReg +2.5; hpReg +6.0; p.def +90;",0,0,50kk
