LEARN @ LVL,NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET,CAST s,CD s,DURRATION s,DESCR,MP,SP COST,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,#ERROR!
,,,,,,,,,,,,,,,,,---------------------------------------------------------------------------------------------PASSIVES-------------------------------------------------------------------------------------------------------------------
,,,,,,,,,,,,,,,,,"ARMOR - Robe: cast x1, mpReg x1.2; Light/Heavy/None: cast x0.5, as x0.5. WEAPON - Sword/Blunt: cast x1, mAtk x1; Bow/Dagger/None: cast x0.5, mAtk x0.5, mAcc x0.5. Auto-granted and NEVER replaced - every mage weapon/weight penalty lives here and nowhere else."
,,,,,,,,,,,,,,,,,----------------------------Anti magic----------------------------
40,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +43, mRes +15%",0,36k,[],,
44,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +49, mRes +15%",0,43k,[],,
48,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +56, mRes +15%",0,64k,[],,
52,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +63, mRes +20%",0,74k,[],,
56,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +70, mRes +20%",0,81k,[],,
58,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +74, mRes +20%",0,88k,[],,
60,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +78, mRes +20%",0,120k,[],,
62,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +82, mRes +20%",0,170k,[],,
64,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +86, mRes +20%",0,190k,[],,
66,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +91, mRes +25%",0,280k,[],,
68,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +95, mRes +25%",0,320k,[],,
70,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +99, mRes +30%",0,390k,[],,
72,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +104, mRes +30%",0,650k,[],,
74,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +108, mRes +30%",0,880k,[],,
,,,,,,,,,,,,,,,,,-----------------------Armor Mastery-----------------------
40,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +39, maxMP +70;",0,36k,[],,
44,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +44, maxMP +70;",0,43k,[],,
48,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +50, maxMP +100;",0,64k,[],,
52,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +50, maxMP +100;",0,74k,[],,
56,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +53, maxMP +140;",0,81k,[],,
58,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +56, maxMP +140;",0,88k,[],,
60,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +58, maxMP +150;",0,120k,[],,
62,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +64, maxMP +150;",0,170k,[],,
64,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +68, maxMP +150;",0,190k,[],,
66,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +72, maxMP +180;",0,280k,[],,
68,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +75, maxMP +180;",0,320k,[],,
70,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +79, maxMP +180;",0,390k,[],,
72,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +83, maxMP +200;",0,650k,[],,
74,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe: pDef +87, maxMP +200;",0,880k,[],,
,,,,,,,,,,,,,,,,,----------------------Spell Mastery----------------------
40,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 15%, mAtk +23, pAtk +15, mpReg +1.5,hpReg +1.1, cast speed x1.07",0,36k,[],,
44,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 15%, mAtk +29, pAtk +20, mpReg +1.9,hpReg +1.6, cast speed x1.07",0,43k,[],,
