LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,Gold,SP Bottles,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,,,==== SP CONSUMATION PER LEVEL ====
,,,,,,,,,,,,,,,,,,,76 - 6.5kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,77 - 11kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,78 - 16kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,79 - 80kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,80 - 150kk SP + 10kk gold (New Skills/Ultimates)| Old-LvlUp -> 5kk Gold 
,,,,,,,,,,,,,,,,,,,81 - 200kk SP + 25kk gold (New Skills/Ultimates)| Old-LvlUp -> 7.5kk Gold 
,,,,,,,,,,,,,,,,,,,82 - 300kk SP + 50kk gold (New Skills/Ultimates)| Old-LvlUp -> 10kk Gold 
,,,,,,,,,,,,,,,,,,,83 - 500kk SP + 100kk gold (New Skills/Ultimates)| Old-LvlUp -> 15kk Gold 
,,,,,,,,,,,,,,,,,,,84 - 100kk gold + 2-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 30kk Gold 
,,,,,,,,,,,,,,,,,,,85 - 100kk gold + 5-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 50kk Gold 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,86 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,,87 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,,88 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,89 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,90 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1 SP bottle = 1kkk SP + 100kk Gold
,,,,,,,,,,,,,,,,,,,==================================
,,,,,,,,,,,,,,,,,,,----------------------------Anti magic----------------------------
76,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +113, mRes +30%",0,6.5kk,1kk
77,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +116, mRes +30%",0,11kk,1kk
78,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +119, mRes +30%",0,16kk,1kk
79,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +121, mRes +30%",0,80kk,1kk
80,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +123, mRes +30%",0,0,5kk
81,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +125, mRes +30%",0,0,7.5kk
82,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +127, mRes +30%",0,0,10kk
83,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +129, mRes +30%",0,0,15kk
84,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +131, mRes +30%",0,0,30kk
85,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +133, mRes +30%",0,0,50kk
86,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +135, mRes +35%",0,0,75kk
87,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +138, mRes +35%",0,0,100kk
88,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +140, mRes +35%",0,0,100kk
89,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +144, mRes +35%",0,0,100kk
90,Anti magic,anti_magic_mage,Passive,,,0,0,self/single,0,0,0,"magic def +149, mRes +35%",0,0,100kk
,,,,,,,,,,,,,,,,,,,-----------------------Armor Mastery-----------------------
76,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +89, maxMP +220; mDef  +2%;",0,6.5kk,1kk
77,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +91, maxMP +220; mDef  +4%;",0,11kk,1kk
78,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +92, maxMP +250; mDef  +5% Decrease Mp Consumption with 5%;",0,16kk,1kk
79,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +93, maxMP +250; mDef  +7% Decrease Mp Consumption with 5%;",0,80kk,1kk
80,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +95, maxMP +250; mDef  +8% Decrease Mp Consumption with 5%;",0,0,5kk
81,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +96, maxMP +290; mDef +10% Decrease Mp Consumption with 8%;",0,0,7.5kk
82,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +97, maxMP +290; mDef +11% Decrease Mp Consumption with 8%;",0,0,10kk
83,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:   pDef +99, maxMP +300; mDef +13% Decrease Mp Consumption with 8%;",0,0,15kk
84,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +100, maxMP +300; mDef +14% Decrease Mp Consumption with 8%;",0,0,30kk
85,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +101, maxMP +300; mDef +16% Decrease Mp Consumption with 8%;",0,0,50kk
86,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +103, maxMP +330; mDef +17% Decrease Mp Consumption with 10%;",0,0,75kk
87,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +104, maxMP +330; mDef +19% Decrease Mp Consumption with 10%;",0,0,100kk
88,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +105, maxMP +350; mDef +20% Decrease Mp Consumption with 10%;",0,0,100kk
89,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +107, maxMP +350; mDef +22% Decrease Mp Consumption with 10%;",0,0,100kk
90,Armor Mastery,buffer_armor_mastery,Passive,,heavy|light|robe,0,0,self/single,0,0,0,"Light/Heavy/Robe:  pDef +108, maxMP +400; mDef +25% Decrease Mp Consumption with 10%;",0,0,100kk
,,,,,,,,,,,,,,,,,,,----------------------Spell Mastery----------------------
76,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +101, pAtk +85, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,6.5kk,1kk
77,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +102, pAtk +90, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,11kk,1kk
78,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +104, pAtk +95, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,16kk,1kk
79,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +105, pAtk +100, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,80kk,1kk
80,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +106, pAtk +105, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,5kk
81,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +108, pAtk +110, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,7.5kk
82,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +109, pAtk +115, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,10kk
83,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +110, pAtk +120, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,15kk
84,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +112, pAtk +125, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,30kk
85,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +113, pAtk +130, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,50kk
86,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +115, pAtk +135, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,75kk
87,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +116, pAtk +140, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,100kk
88,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +117, pAtk +145, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,100kk
89,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +119, pAtk +150, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,100kk
90,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +120, pAtk +155, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,0,100kk
,,,,,,,,,,,,,,,,,,,---------------------------Mark----------------------------
76,Buffer Shield Mastery,buffer_shield_mastery,Passive,,robe/shield,0,0,self/single,0,0,0,"When Robe+Shield are equipped increase Max HP/MP and natural regeneration with 10%",0,6.5kk,1kk
,,,,,,,,,,,,,,,,,,,---------------------------Harmonist Bow Mastery----------------------------
76,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +650;",0,6.5kk,1kk
78,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +700;",0,16kk,1kk
80,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +720;",0,0,5kk
82,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +800;",0,0,10kk
84,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +850;",0,0,30kk
86,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +900;",0,0,75kk
88,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +950;",0,0,100kk
90,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +1000;",0,0,100kk
,,,,,,,,,,,,,,,,,,,---------------------------Warlock Weapon Mastery----------------------------
76,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 110, Accuracy +4;",0,6.5kk,1kk
78,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 120, Accuracy +4;",0,16kk,1kk
80,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 130, Accuracy +4;",0,0,5kk
82,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 140, Accuracy +4;",0,0,10kk
84,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 150, Accuracy +4;",0,0,30kk
86,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 160, Accuracy +5;",0,0,75kk
88,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 180, Accuracy +5;",0,0,100kk
90,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"Blunt: P.Atk 200, Accuracy +5;",0,0,100kk
,,,,,,,,,,,,,,,,,,,---------------------------Doctor Weapon Mastery----------------------------
76,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 110, Accuracy +1;",0,6.5kk,1kk
78,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 120, Accuracy +1;",0,16kk,1kk
80,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 130, Accuracy +1;",0,0,5kk
82,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 140, Accuracy +1;",0,0,10kk
84,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 150, Accuracy +1;",0,0,30kk
86,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 160, Accuracy +2;",0,0,75kk
88,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 180, Accuracy +2;",0,0,100kk
90,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 200, Accuracy +2;",0,0,100kk
,,,,,,,,,,,,,,,,,,,------------------------------Harmony of Protection------------------------------
76,Harmony of Protection,npc_harmony_protection,Magic/Buff,,,600,800,party/aoe,1,120,300,"+30% M.Def, +20% HP Regen, +25% P.Def, +30% Max HP, +20% Mele Reflect, +10% Bow Resistance",464,6.5kk,1kk
,,,,,,,,,,,,,,,,,,,------------------------------Harmony of the Wizard------------------------------
77,Harmony of the Wizard,npc_harmony_wizard,Magic/Buff,,,600,800,party/aoe,1,120,300,"+10% M.Atk, 30% cast speed, +20% MP Regen",199,11kk,1kk
78,Harmony of the Wizard,npc_harmony_wizard,Magic/Buff,,,600,800,party/aoe,1,120,300,"+10% M.Atk, 30% cast speed, +20% MP Regen, +30% magic crit rate",279,16kk,1kk
79,Harmony of the Wizard,npc_harmony_wizard,Magic/Buff,,,600,800,party/aoe,1,120,300,"+10% M.Atk, 30% cast speed, +20% MP Regen, +30% magic crit rate, +30% magic critical dmg",367,80kk,1kk
,,,,,,,,,,,,,,,,,,,------------------------------Harmony of the Soul------------------------------
77,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-10% Magical Reuse, -20% Physical Reuse, -10% Magic MP Consumption, -10% Physical MP Consumption",279,11kk,1kk
78,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-15% Magical Reuse, -25% Physical Reuse, -12% Magic MP Consumption, -15% Physical MP Consumption",279,16kk,1kk
79,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-20% Magical Reuse, -30% Physical Reuse, -15% Magic MP Consumption, -20% Physical MP Consumption",279,80kk,1kk
80,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-20% Magical Reuse, -30% Physical Reuse, -15% Magic MP Consumption, -20% Physical MP Consumption, +5% Healing Received",367,0,5kk
81,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-20% Magical Reuse, -30% Physical Reuse, -15% Magic MP Consumption, -20% Physical MP Consumption, +10% Healing Received",367,0,7.5kk
82,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-20% Magical Reuse, -30% Physical Reuse, -15% Magic MP Consumption, -20% Physical MP Consumption, +15% Healing Received, +20% SPT Debuff Resistance",464,0,10kk
83,Harmony of the Soul,wc_harmony_soul,Magic/Buff,,,600,800,party/aoe,1,120,300,"-20% Magical Reuse, -30% Physical Reuse, -15% Magic MP Consumption, -20% Physical MP Consumption, +20% Healing Received, +30% SPT Debuff Resistance",464,0,15kk
,,,,,,,,,,,,,,,,,,,------------------------------Harmony of Madness------------------------------
83,Harmony of Madness,wc_harmony_madness,Magic/Buff,,,600,800,party/aoe,1,120,300,"−10% Max HP/MP, +8% offence and speed, +8 move, −8 evasion.",367,500kk,100kk
,,,,,,,,,,,,,,,,,,,---------------------------Harmony of Restoration----------------------------
76,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +110 HP/s and +11 MP/s for 30s,470,6.5kk,1
77,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +115 HP/s and +11 MP/s for 30s,476,11kk,1k
78,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +120 HP/s and +12 MP/s for 30s,482,16kk,1k
79,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +125 HP/s and +12 MP/s for 30s,488,80kk,1k
80,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +130 HP/s and +13 MP/s for 30s,454,0,5kk
81,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +135 HP/s and +13 MP/s for 30s,460,0,7.5kk
82,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +140 HP/s and +14 MP/s for 30s,466,0,10kk
83,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +145 HP/s and +14 MP/s for 30s,472,0,15kk
84,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +150 HP/s and +15 MP/s for 30s,478,0,30kk
