LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,REPLACES,Race,Comment
,,,,,,,,,,,,,,,,----------------------------Armor Mastery----------------------------
5,Armor Mastery,fighter_armor_mastery,passive,,heavy|light|robe,0,0,self/single,0,0,0,P.Def + 9,0,160,[]
10,Armor Mastery,fighter_armor_mastery,passive,,heavy|light|robe,0,0,self/single,0,0,0,P.Def + 12,0,910,[]
15,Armor Mastery,fighter_armor_mastery,passive,,heavy|light|robe,0,0,self/single,0,0,0,p.def +14; Light: eva +3,0,910,[]
,,,,,,,,,,,,,,,,----------------------------Spirit Mastery----------------------------
5,Spirit Mastery,fighter_spirit_mastery,passive,,,0,0,self/single,0,0,0,MP rege x1.1,0,160,[]
,,,,,,,,,,,,,,,,----------------------------Weapon Mastery----------------------------
5,Weapon Mastery,fighter_weapon_mastery,passive,,,0,0,self/single,0,0,0,with any weapon: p.Atk x1.085 and p.Atk +2,0,160,[]
10,Weapon Mastery,fighter_weapon_mastery,passive,,,0,0,self/single,0,0,0,with any weapon: p.Atk x1.085 and p.Atk +3,0,910,[]
15,Weapon Mastery,fighter_weapon_mastery,passive,,,0,0,self/single,0,0,0,with any weapon: p.Atk x1.085 and p.Atk +4,0,910,[]
,,,,,,,,,,,,,,,,----------------------------Strike----------------------------
5,Strike,strike,physical active,sword|blunt,,40,0,enemy/single,1,3,0,dmg with 35 power (in l2 is strikes the target with 35 power added to p.atk) - can double - require blunt/sword,10,160,[]
10,Strike,strike,physical active,sword|blunt,,40,0,enemy/single,1,3,0,dmg with 65 power - can double - require blunt/sword,13,910,[]
15,Strike,strike,physical active,sword|blunt,,40,0,enemy/single,1,3,0,dmg with 84 power - can double - require blunt/sword,17,910,[]
,,,,,,,,,,,,,,,,----------------------------Stab----------------------------
5,Stab,stab,physical active,duals,,40,0,enemy/single,1,3,0,power 88 - only when skill does critical - otherwise normal attack.8 - require duals,10,160,[]
10,Stab,stab,physical active,duals,,40,0,enemy/single,1,3,0,power 137 - only when skill does critical - otherwise normal attack.7 - require duals,11,910,[]
15,Stab,stab,physical active,duals,,40,0,enemy/single,1,3,0,power 210 - only when skill does critical - otherwise normal attack - require duals,15,910,[]
,,,,,,,,,,,,,,,,----------------------------Shot----------------------------
5,Shot,shot,physical active,bow,,350,0,enemy/single,3,6,0,power 78 - ranged shot - require a bow,20,160,[]
10,Shot,shot,physical active,bow,,350,0,enemy/single,3,6,0,power 122 - ranged shot - require a bow,25,910,[]
15,Shot,shot,physical active,bow,,350,0,enemy/single,3,6,0,power 187 - ranged shot - require a bow,34,910,[]
,,,,,,,,,,,,,,,,----------------------------Return----------------------------
1,Return,return_town,Active,,,0,0,self/single,60,10,0,"Teleport the user to nearest Town; Auto-granted",0,0,,,60/10s fixed times  -> dont know how to express them in the cast/cd columns
,,,,,,,,,,,,,,,,----------------------------Elf Antidote----------------------------
10,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 1 or lower;",9,460,,Elf
24,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 2 or lower;",20,3.2k,,Elf
40,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 3 or lower;",31,14k,,Elf
49,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 4 or lower",42,25k,,Elf
55,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 5 or lower",50,44k,,Elf
60,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 6 or lower",53,60k,,Elf
64,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 7 or lower",57,90k,,Elf
68,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 8 or lower",60,160k,,Elf
72,Antidote,elf_antidote,Physical/Heal,,,0,0,self/single,1,10,0,"Cures poison, venom and bleed of rank 9 or lower",64,320k,,Elf
,,,,,,,,,,,,,,,,----------------------------Tree of Life----------------------------
15,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 100 power;",13,1.5k,,Elf
28,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 200 power;",23,12k,,Elf
40,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 300 power;",31,28k,,Elf
49,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 400 power;",42,50k,,Elf
58,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 500 power;",52,88k,,Elf
64,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 600 power;",57,190k,,Elf
70,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 700 power;",62,390k,,Elf
74,Healing Leaf,elf_heal,Physical/Heal,,,0,0,self/single,5,5,0,"Mending Wounds and Heal oneself with 800 power;",66,880k,,Elf
,,,,,,,,,,,,,,,,---------------------------Demonic Drain----------------------------
15,Demonic Drain,demon_drain,Physical/Active,,,400,0,target/single,3,6,0,"Deals Physical damage with +60 power and restores 60% of the dmg as HP;",17,910,,Demon
20,Demonic Drain,demon_drain,Physical/Active,,,600,0,target/single,3,6,0,"Deals Physical damage with +80 power and restores 60% of the dmg as HP;",20,1.7k,,Demon
24,Demonic Drain,demon_drain,Physical/Active,,,600,0,target/single,3,6,0,"Deals Physical damage with +100 power and restores 60% of the dmg as HP;",23,3.2k,,Demon
28,Demonic Drain,demon_drain,Physical/Active,,,600,0,target/single,3,6,0,"Deals Physical damage with +150 power and restores 60% of the dmg as HP;",25,6k,,Demon
32,Demonic Drain,demon_drain,Physical/Active,,,600,0,target/single,3,6,0,"Deals Physical damage with +200 power and restores 60% of the dmg as HP;",30,11k,,Demon
36,Demonic Drain,demon_drain,Physical/Active,,,600,0,target/single,3,6,0,"Deals Physical damage with +250 power and restores 60% of the dmg as HP;",35,20k,,Demon
40,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +600 power and restores 60% of the dmg as HP;",36,28k,,Demon
43,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +900 power and restores 60% of the dmg as HP;",40,35k,,Demon
46,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +1200 power and restores 60% of the dmg as HP;",43,40k,,Demon
49,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +1500 power and restores 60% of the dmg as HP;",45,50k,,Demon
52,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +1800 power and restores 60% of the dmg as HP;",47,74k,,Demon
55,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +2100 power and restores 60% of the dmg as HP;",50,80k,,Demon
58,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +2400 power and restores 60% of the dmg as HP;",55,88k,,Demon
60,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +2700 power and restores 60% of the dmg as HP;",56,120k,,Demon
62,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +2900 power and restores 60% of the dmg as HP;",58,170k,,Demon
64,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +3100 power and restores 60% of the dmg as HP;",62,190k,,Demon
66,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +3300 power and restores 60% of the dmg as HP;",65,280k,,Demon
68,Demonic Drain,demon_drain,Physical/Active,,,800,0,target/single,3,6,0,"Deals Physical damage with +3500 power and restores 60% of the dmg as HP;",68,320k,,Demon
