LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,Gold,SP Bottles,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,,==== SP CONSUMATION PER LEVEL ====
,,,,,,,,,,,,,,,,,,76 - 6.5kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,77 - 11kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,78 - 16kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,79 - 80kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,80 - 150kk SP + 10kk gold (New Skills/Ultimates)| Old-LvlUp -> 5kk Gold 
,,,,,,,,,,,,,,,,,,81 - 200kk SP + 25kk gold (New Skills/Ultimates)| Old-LvlUp -> 7.5kk Gold 
,,,,,,,,,,,,,,,,,,82 - 300kk SP + 50kk gold (New Skills/Ultimates)| Old-LvlUp -> 10kk Gold 
,,,,,,,,,,,,,,,,,,83 - 500kk SP + 100kk gold (New Skills/Ultimates)| Old-LvlUp -> 15kk Gold 
,,,,,,,,,,,,,,,,,,84 - 100kk gold + 2-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 30kk Gold 
,,,,,,,,,,,,,,,,,,85 - 100kk gold + 5-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 50kk Gold 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,86 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,87 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,88 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,89 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,90 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1 SP bottle = 1kkk SP + 100kk Gold (sells back for 100kk; drinking returns the 1kkk SP and no gold)
,,,,,,,,,,,,,,,,,,==================================
,,,,,,,,,,,,,,,,,,----------------------------Anti magic----------------------------
76,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +113, mRes +30%",0,6.5kk,1kk
77,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +116, mRes +30%",0,11kk,1kk
78,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +119, mRes +30%",0,16kk,1kk
79,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +121, mRes +30%",0,80kk,1kk
80,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +123, mRes +30%",0,0,5kk
81,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +125, mRes +30%",0,0,7.5kk
82,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +127, mRes +30%",0,0,10kk
83,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +129, mRes +30%",0,0,15kk
84,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +131, mRes +30%",0,0,30kk
85,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +133, mRes +30%",0,0,50kk
86,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +135, mRes +35%",0,0,75kk
87,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +138, mRes +35%",0,0,100kk
88,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +140, mRes +35%",0,0,100kk
89,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +144, mRes +35%",0,0,100kk
90,Anti magic,anti_magic_mage,Passive,,0,0,self/single,0,0,0,"magic def +149, mRes +35%",0,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Spellcaster Weapon Mastery----------------------------
76,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +101, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,6.5kk,1kk
77,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +102, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,11kk,1kk
78,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +104, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,16kk,1kk
79,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +105, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,80kk,1kk
80,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +106, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,5kk
81,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +108, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,7.5kk
82,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +109, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,10kk
83,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +110, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,15kk
84,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +112, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,30kk
85,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +113, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,50kk
86,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +115, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,75kk
87,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +116, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,100kk
88,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +117, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,100kk
89,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +119, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,100kk
90,Spellcaster Weapon Mastery,healer_weapon_mastery,Passive,blunt,0,0,self/single,0,0,0,"With blunt weapon decreses the reuse delay with 20%, mAtk +120, mpReg +3.4,hpReg +2.7, cast speed x1.1",0,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Healer Armor Mastery----------------------------
76,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +89, maxMP +220; mDef  +2%",0,6.5kk,1kk
77,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +91, maxMP +220; mDef  +4%",0,11kk,1kk
78,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +92, maxMP +250; mDef  +5%; Decrease Mp Consumption with 5%",0,16kk,1kk
79,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +93, maxMP +250; mDef  +7%; Decrease Mp Consumption with 5%",0,80kk,1kk
80,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +95, maxMP +250; mDef  +8%; Decrease Mp Consumption with 5%",0,0,5kk
81,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +96, maxMP +290; mDef +10%; Decrease Mp Consumption with 8%",0,0,7.5kk
82,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +97, maxMP +290; mDef +11%; Decrease Mp Consumption with 8%",0,0,10kk
83,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe:  pDef +99, maxMP +300; mDef +13%; Decrease Mp Consumption with 8%",0,0,15kk
84,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +100, maxMP +300; mDef +14%; Decrease Mp Consumption with 8%",0,0,30kk
85,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +101, maxMP +300; mDef +16%; Decrease Mp Consumption with 8%",0,0,50kk
86,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +103, maxMP +330; mDef +17%; Decrease Mp Consumption with 10%",0,0,75kk
87,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +104, maxMP +330; mDef +19%; Decrease Mp Consumption with 10%",0,0,100kk
88,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +105, maxMP +350; mDef +20%; Decrease Mp Consumption with 10%",0,0,100kk
89,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +107, maxMP +350; mDef +22%; Decrease Mp Consumption with 10%",0,0,100kk
90,Healer Armor Mastery,healer_armor_mastery,Passive,,0,0,self/single,0,0,0,"Robe: pDef +108, maxMP +400; mDef +25%; Decrease Mp Consumption with 10%",0,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Healer Shield Mastery----------------------------
76,Healers Shield Mastery,healer_shield_mastery,Passive,,0,0,self/single,0,0,0,When Sheild is equiped increase healing power and MP regeneration with 10%,0,6.5kk,1kk
,,,,,,,,,,,,,,,,,,----------------------------Great Heal----------------------------
76,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  865,122,6.5kk,1k
77,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  875,124,11kk,1kk
78,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  890,126,16kk,1kk
79,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  900,128,80kk,1kk
80,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  915,130,0,5kk
81,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  920,132,0,7.5kk
82,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  955,134,0,10kk
83,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  960,136,0,15kk
84,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power  980,138,0,30kk
85,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 1000,140,0,50kk
86,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 1050,142,0,75kk
87,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 1100,144,0,100kk
88,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 1200,146,0,100kk
89,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 1300,148,0,100kk
90,Great Heal,great_heal,Magic/Heal,,600,0,target/single,5,3,0,heal with power 1400,150,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Ultimate Heal----------------------------
76,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1100. Consumes 2 skill stone,122,6.5kk,1k
78,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1200. Consumes 2 skill stone,126,16kk,1kk
80,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1300. Consumes 2 skill stone,130,0,5kk
82,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1400. Consumes 2 skill stone,134,0,10kk
84,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1500. Consumes 2 skill stone,138,0,30kk
86,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1600. Consumes 2 skill stone,142,0,75kk
88,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 1800. Consumes 2 skill stone,146,0,100kk
90,Ultimate Heal,ultimate_heal,Magic/Heal,,600,0,target/single,5,1,0,heal with power 2000. Consumes 2 skill stone,150,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Ultimate party Heal----------------------------
76,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1100. Consumes 5 skill stone,244,6.5kk,1k
78,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1200. Consumes 5 skill stone,252,16kk,1kk
80,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1300. Consumes 5 skill stone,260,0,5kk
82,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1400. Consumes 5 skill stone,268,0,10kk
84,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1500. Consumes 5 skill stone,276,0,30kk
86,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1600. Consumes 5 skill stone,284,0,75kk
88,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 1800. Consumes 5 skill stone,292,0,100kk
90,Ultimate party Heal,ultimate_party_heal,Magic/Heal,,0,1000,party/aoe,7,3,0,heal with power 2000. Consumes 5 skill stone,300,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Party Great Heal----------------------------
76,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  720,244,6.5kk,1k
77,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  730,248,11kk,1kk
78,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  740,252,16kk,1kk
79,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  750,256,80kk,1kk
80,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  760,260,0,5kk
81,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  770,264,0,7.5kk
82,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  775,268,0,10kk
83,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  780,272,0,15kk
84,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  790,276,0,30kk
85,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  800,280,0,50kk
86,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  830,284,0,75kk
87,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  860,288,0,100kk
88,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  900,292,0,100kk
89,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power  950,296,0,100kk
90,Party Great Heal,party_great_heal,Magic/Heal,,0,1000,party/aoe,7,6,0,heal party with power 1000,300,0,100kk
,,,,,,,,,,,,,,,,,,----------------------------Quick Great Heal----------------------------
76,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  865,181,6.5kk,1k,,,Human
77,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  875,183,11kk,1kk,,,Human
78,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  890,185,16kk,1kk,,,Human
79,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  900,190,80kk,1kk,,,Human
80,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  915,192,0,5kk,,,Human
81,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  920,195,0,7.5kk,,,Human
82,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  955,200,0,10kk,,,Human
83,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  960,202,0,15kk,,,Human
84,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power  980,204,0,30kk,,,Human
85,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power 1000,206,0,50kk,,,Human
86,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power 1050,208,0,75kk,,,Human
87,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power 1100,210,0,100kk,,,Human
88,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power 1200,215,0,100kk,,,Human
89,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power 1300,218,0,100kk,,,Human
90,Quick Great Heal,lb_human_mend,Magic/Heal,,600,0,target/single,2,1,0,heal with power 1400,220,0,100kk,,,Human
,,,,,,,,,,,,,,,,,,---------------------------Healer Blessing----------------------------
76,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  780 power,122,6.5kk,1k,,,Elf
77,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  790 power,124,11kk,1kk,,,Elf
78,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  800 power,126,16kk,1kk,,,Elf
79,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  810 power,128,80kk,1kk,,,Elf
80,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  820 power,130,0,5kk,,,Elf
81,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  830 power,132,0,7.5kk,,,Elf
82,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  850 power,134,0,10kk,,,Elf
