LEARN @ LVL, NAME,TYPE,RANGE,TARGET, CAST s,CD s,DURRATION s, DESCR, INIT MP,FINIT MP ,SP COST,REPLACES
1,Magic Bolt,magic active,600,enemy,4,1,0,magic dmg power 12 - spells fail rather than miss,2,7,0,[]
1,Self Heal,heal,0,self,5,2,0,restore own HP power 42 - scales with WIT,2,5,160,[]
1,Robe Mastery,passive,0,self,0,0,0,Robe: cast x1 mpReg x1.2 pDef +0; Light/Heavy/None: as x0.8 cast x0.5; Heavy: as/cast x0.5,0,0,0,[]
7,Magic Bolt,magic active,600,enemy,4,1,0,magic dmg power 15,2,8,480,[]
7,Self Heal,heal,0,ally,5,2,0,restore own HP power 67 - scales with WIT,3,11,480,[]
7,Might,buff,600,ally,1,1,1200,+8% Attack and +8% Defence for 20 min,4,16,960,[]
7,Anti-Magic,passive,0,self,0,0,0,+12 magic defence,0,0,480,[]
7,Robe Mastery,passive,0,self,0,0,0,Robe: cast x1 mpReg x1.2 pDef +7; Light/Heavy/None: as x0.8 cast x0.5; Heavy: as/cast x0.5,0,0,480,[]
14,Magic Bolt,magic active,600,enemy,4,1,0,magic dmg power 21,3,12,2200,[]
14,Vampiric Bolt,magic active,750,enemy,4,1,0,drain power 21 - heals you 40% of damage dealt,6,22,2200,[]
14,Self Heal,heal,0,self,5,2,0,rrestore own HP power 107,5,17,2200,[]
14,Anti-Magic,passive,0,self,0,0,0,+16 magic defence and 5% chance for spells to fizzle on you,0,0,2200,[]
14,Weapon Mastery,passive,0,self,0,0,0, +4 M.Atk and +2 P.Atk - casting with other than sword or blunt is half speed,0,0,2200,[]
14,Robe Mastery,passive,0,self,0,0,0,Robe: cast x1 mpReg x1.2 pDef +9; Light/Heavy: as x0.8 cast x0.5; Heavy: as/cast x0.5,0,0,2200,[]
