LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,Gold,SP Bottles,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,,,-------------------------------------------------------ALL CLASSES--------------------------------------------------------
,,,,,,,,,,,,,,,,,,,----------------------------Strong Mind----------------------------
76,Strong Mind,strong_mind,Passive,,,0,0,self/single,0,0,0,Increase resistance to SPT debuffs by 20%,0,6.5kk,1kk
,,,,,,,,,,,,,,,,,,,----------------------------Strong Body----------------------------
76,Strong Body,strong_body,Passive,,,0,0,self/single,0,0,0,Increase resistance to CON debuffs by 10%,0,6.5kk,1kk
,,,,,,,,,,,,,,,,,,,----------------------------Strong Spirit----------------------------
83,Arcane Protection,arcane_protection,Passive,,,0,0,self/single,0,30,10,Increase M.Def +15% and with 20% chance on magic dmg taken to increases MDef +1000,0,500kk,100kk,,,,Flat Increase not mutliplied by buffs
,,,,,,,,,,,,,,,,,,,----------------------------Magic Proficiency----------------------------
83,Magic Proficiency,magic_proficiency,Passive,,,0,0,self/single,0,0,0,"Increase M.Atk and Casting speed with 5% and MP consumation with -5%; With 10% chance when using Magic(spells/buffs/debuffs/heals) Increase additionally M.Atk +5%, Casting speed +5%, M.Crit.Rate +5%, M.Crit.Dmg +10%, MP consumation -15%",0,500kk,100kk,,,,
,,,,,,,,,,,,,,,,,,,----------------------------Physical Proficiency----------------------------
83,Physical Proficiency,physical_proficiency,Passive,sword|blunt|bow|duals,,0,0,self/single,0,30,10,"Blunt/Sword/Dual: Increase P.Atk +100, Atk.Speed +10%; Bow: Acc +8, Range +50; Blunt/Sword/Dual/Bow: WIth 5% chance when attacking with pysical skills or basick attacks to increase P.Crit.Rate and P.Skill.Power with 20%",0,500kk,100kk,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,----------------------------Sigils----------------------------
,,,,,,,,,,,,,,,,,,,A-Attack Replaces B/C/D..Z-Attack
,,,,,,,,,,,,,,,,,,,A-Defence Replaces B/C/D..Z-Defence
,,,,,,,,,,,,,,,,,,,A-Support Replaces B/C/D..Z-Support
,,,,,,,,,,,,,,,,,,,1- Attack; 1- Defence; 1- Support
,,,,,,,,,,,,,,,,,,,Fighter ideal: Warrior Attack; Tank Defence; Buffer Support
,,,,,,,,,,,,,,,,,,,Mage ideal: Mage Attack; Tank Defence; Buffer Support
,,,,,,,,,,,,,,,,,,,Durations and Cooldowns are Fixed and dont count towards buff limit
,,,,,,,,,,,,,,,,,,,Bought on their own SIGILS tab (Skills window), which only opens after the 4th class change
,,,,,,,,,,,,,,,,,,,Reset at the Mindwright: 10kk gold PER SIGIL - no SP and no gold refunded
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,----------------------------Defence Sigil----------------------------
76,Holy Protection Sigil,healer_defence_sigil,Passive,,,0,0,self/single,0,0,0,10% SPT Debuff Resists,0,20kk,10kk,,[buffer_defence_sigil mage_defence_sigil rogue_defence_sigil tank_defence_sigil warrior_defence_sigil],,Healer_Defence_Sigil
76,Duel Sigil,warrior_defence_sigil,Passive,,,0,0,self/single,0,0,0,5% PvP Defence,0,20kk,10kk,,[buffer_defence_sigil healer_defence_sigil mage_defence_sigil rogue_defence_sigil tank_defence_sigil],,Warrior_Defence_Sigil
76,Spirit Sigil,buffer_defence_sigil,Passive,,,0,0,self/single,0,0,0,Increase MP regen with 10%,0,20kk,10kk,,[healer_defence_sigil mage_defence_sigil rogue_defence_sigil tank_defence_sigil warrior_defence_sigil],,Immortality: HP is unchanged; move and casts are unnafected -> also healing dont increase HP as DMG dont decrease it;  Buffer_Defence_Sigil
76,Aegis Sigil,tank_defence_sigil,Passive,,,0,0,self/single,0,20,15,3% chance on dmg received to increase P/M.Def +25%,0,20kk,10kk,,[buffer_defence_sigil healer_defence_sigil mage_defence_sigil rogue_defence_sigil warrior_defence_sigil],,Tank_Defence_Sigil
76,Mage Defence Sigil,mage_defence_sigil,Passive,,,0,0,self/single,0,0,0,increase M.Def with 7%,0,20kk,10kk,,[buffer_defence_sigil healer_defence_sigil rogue_defence_sigil tank_defence_sigil warrior_defence_sigil],,Mage_Defence_Sigil
76,Agility Sigil,rogue_defence_sigil,Passive,,,0,0,self/single,0,0,0,Increase P/M.Evasion +3,0,20kk,10kk,,[buffer_defence_sigil healer_defence_sigil mage_defence_sigil tank_defence_sigil warrior_defence_sigil],,Rogue_Defence_Sigil
,,,,,,,,,,,,,,,,,,,----------------------------Attack Sigil----------------------------
76,Holy Power Sigil,healer_attack_sigil,Passive,,,0,0,self/single,0,0,0,Increase healing power with 5%,0,20kk,10kk,,[buffer_attack_sigil mage_attack_sigil rogue_attack_sigil tank_attack_sigil warrior_attack_sigil],,Healer_Attack_Sigil
76,Fury Sigil,warrior_attack_sigil,Passive,,,0,0,self/single,0,20,15,3% chance on attack to increase attack speed with 30%,0,20kk,10kk,,[buffer_attack_sigil healer_attack_sigil mage_attack_sigil rogue_attack_sigil tank_attack_sigil],,Warrior_Attack_Sigil
76,Soul Sigil,buffer_attack_sigil,Passive,,,0,0,self/single,0,0,0,Increase max MP 10%,0,20kk,10kk,,[healer_attack_sigil mage_attack_sigil rogue_attack_sigil tank_attack_sigil warrior_attack_sigil],,Buffer_Attack_Sigil
76,Body Sigil,tank_attack_sigil,Passive,,,0,0,self/single,0,0,0,Increase max HP 10%,0,20kk,10kk,,[buffer_attack_sigil healer_attack_sigil mage_attack_sigil rogue_attack_sigil warrior_attack_sigil],,Tank_Attack_Sigil
76,Frenzy Sigil,mage_attack_sigil,Passive,,,0,0,self/single,0,20,15,3% chance on attack to increase P/M.Atk and P/M.Speed with 8%,0,20kk,10kk,,[buffer_attack_sigil healer_attack_sigil rogue_attack_sigil tank_attack_sigil warrior_attack_sigil],,Mage_Attack_Sigil
76,Focus Sigil,rogue_attack_sigil,Passive,,,0,0,self/single,0,20,15,3% chance on attack to increase P.Crit.Chance + 50,0,20kk,10kk,,[buffer_attack_sigil healer_attack_sigil mage_attack_sigil tank_attack_sigil warrior_attack_sigil],,Flat 50-> everyone gets flat 5% increase in crit (blunt/duals/etc..);  Rogue_Attack_Sigil
,,,,,,,,,,,,,,,,,,,----------------------------Support Sigil----------------------------
76,Holy Support Sigil,healer_support_sigil,Passive,,,0,0,self/single,0,5,0,5% chance on dmg received to heal 2%HP,0,20kk,10kk,,[buffer_support_sigil mage_support_sigil rogue_support_sigil tank_support_sigil warrior_support_sigil],,Healer_Support_Sigil
76,Fortitude Sigil,warrior_support_sigil,Passive,,,0,0,self/single,0,0,0,5% CON Debuffs Resists,0,20kk,10kk,,[buffer_support_sigil healer_support_sigil mage_support_sigil rogue_support_sigil tank_support_sigil],,Warrior_Support_Sigil
76,Immortality Sigil,buffer_support_sigil,Passive,,,0,0,self/single,0,20,5,3% chance on dmg received to become Immortal,0,20kk,10kk,,[healer_support_sigil mage_support_sigil rogue_support_sigil tank_support_sigil warrior_support_sigil],,Buffer_Support_Sigil
76,Critical Protection Sigil,tank_support_sigil,Passive,,,0,0,self/single,0,0,0,Increase resistance to critical rate/dmg +10%,0,20kk,10kk,,[buffer_support_sigil healer_support_sigil mage_support_sigil rogue_support_sigil warrior_support_sigil],,Tank_Support_Sigil
76,Arcane Support Sigil,mage_support_sigil,Passive,,,0,0,self/single,0,5,0,5% chance on attack to heal 2% MP,0,20kk,10kk,,[buffer_support_sigil healer_support_sigil rogue_support_sigil tank_support_sigil warrior_support_sigil],,Mage_Support_Sigil
76,Aim Sigil,rogue_support_sigil,Passive,,,0,0,self/single,0,0,0,Bow: Range +100; Blunt/Sword/Dual: Acc +5,0,20kk,10kk,,[buffer_support_sigil healer_support_sigil mage_support_sigil tank_support_sigil warrior_support_sigil],,Rogue_Support_Sigil
,,,,,,,,,,,,,,,,,,,
