LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,GOLD,RACE,REPLACES,COMMENT
,,,,,,,,,,,,,,,,,----------------------------Heavy Armor Mastery----------------------------
76,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +175 and p.def x1.20 and crit dmg reduction 35% and eva -3;",0,6.5kk,1kk
77,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +180 and p.def x1.20 and crit dmg reduction 35% and eva -3;",0,11kk,1kk
78,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +185 and p.def x1.20 and crit dmg reduction 35% and eva -3;",0,16kk,1kk
79,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +190 and p.def x1.20 and crit dmg reduction 40% and eva -4;",0,80kk,1kk
80,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +195 and p.def x1.25 and crit dmg reduction 40% and eva -4;",0,0,5kk
81,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +200 and p.def x1.25 and crit dmg reduction 40% and eva -4;",0,0,7.5kk
82,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +205 and p.def x1.25 and crit dmg reduction 45% and eva -5;",0,0,10kk
83,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +210 and p.def x1.25 and crit dmg reduction 45% and eva -5;",0,0,15kk
84,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +215 and p.def x1.25 and crit dmg reduction 45% and eva -5;",0,0,30kk
85,Heavy Armor Mastery,tank_armor_mastery,Passive,,robe,0,0,self/single,0,0,0,"with heavy: mpReg x3.4 and p.def +220 and p.def x1.30 and crit dmg reduction 50% and eva -6;",0,0,50kk
