LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST (x1000),REPLACES,RACE,COMMENT
,,,,,,,,,,,,,,,,,----------------------------Armor Mastery----------------------------
40,Warriors Strenght,warrior_strenght,passive,sword|blunt/2,,0,0,self/single,0,0,0,"With 2h sword/blunt: acc +3; p.atk +25%;",0,28
52,Warriors Strenght,warrior_strenght,passive,sword|blunt/2,,0,0,self/single,0,0,0,"With 2h sword/blunt: acc +6; p.atk +25%;",0,74
,,,,,,,,,,,,,,,,,----------------------------Armor Mastery----------------------------
40,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +40 and hpReg +1.7; Light: eva +9; Heavy: P.Def +10, HP +50;",0,28
43,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +45 and hpReg +1.7; Light: eva +9; Heavy: P.Def +12, HP +50;",0,35
46,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +50 and hpReg +2.1; Light: eva +9; Heavy: P.Def +14, HP +50;",0,40
49,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +55 and hpReg +2.1; Light: eva +9; Heavy: P.Def +16, HP +50;",0,50
52,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +58 and hpReg +2.6; Light: eva +9; Heavy: P.Def +18, HP +60;",0,74
55,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +60 and hpReg +2.6; Light: eva +9; Heavy: P.Def +20, HP +60;",0,80
58,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +63 and hpReg +2.7; Light: eva +9; Heavy: P.Def +22, HP +60;",0,88
60,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +70 and hpReg +2.7; Light: eva +9; Heavy: P.Def +24, HP +70;",0,120
62,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +77 and hpReg +2.7; Light: eva +9; Heavy: P.Def +27, HP +70;",0,170
64,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +85 and hpReg +2.7; Light: eva +9; Heavy: P.Def +30, HP +80;",0,190
66,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +92 and hpReg +2.7; Light: eva +9; Heavy: P.Def +33, HP +80;",0,280
68,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +100 and hpReg +3.4; Light: eva +9; Heavy: P.Def +36, HP +90;",0,320
70,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +107 and hpReg +3.4; Light: eva +9; Heavy: P.Def +40, HP +90;",0,390
72,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +115 and hpReg +3.4; Light: eva +9; Heavy: P.Def +45, HP +100;",0,650
74,Armor Mastery,warrior_armor_mastery,passive,,heavy|light,0,0,self/single,0,0,0,"P.def +123 and hpReg +4.0; Light: eva +9; Heavy: P.Def +50, HP +100;",0,880
,,,,,,,,,,,,,,,,,----------------------------Weapon Mastery----------------------------
40,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +145; p.atk +32; Allow basic attack to hit around in 150 range (max 5 targets);",0,28,[warrior_weapon_mastery]
43,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +172; p.atk +39; Allow basic attack to hit around in 150 range (max 6 targets);",0,35,[warrior_weapon_mastery]
46,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +202; p.atk +46; Allow basic attack to hit around in 150 range (max 7 targets);",0,40,[warrior_weapon_mastery]
49,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +235; p.atk +53; Allow basic attack to hit around in 150 range (max 8 targets);",0,50,[warrior_weapon_mastery]
52,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +272; p.atk +60; Allow basic attack to hit around in 150 range (max 9 targets);",0,74,[warrior_weapon_mastery]
55,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +312; p.atk +67; Allow basic attack to hit around in 150 range (max 10 targets);",0,80,[warrior_weapon_mastery]
58,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +355; p.atk +74; Allow basic attack to hit around in 150 range (max 10 targets);",0,88,[warrior_weapon_mastery]
60,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +385; p.atk +81; Allow basic attack to hit around in 150 range (max 10 targets);",0,120,[warrior_weapon_mastery]
62,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +416; p.atk +88; Allow basic attack to hit around in 150 range (max 10 targets);",0,170,[warrior_weapon_mastery]
64,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +449; p.atk +95; Allow basic attack to hit around in 150 range (max 10 targets);",0,190,[warrior_weapon_mastery]
66,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +481; p.atk +102; Allow basic attack to hit around in 150 range (max 10 targets);",0,280,[warrior_weapon_mastery]
68,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +515; p.atk +109; Allow basic attack to hit around in 150 range (max 10 targets);",0,320,[warrior_weapon_mastery]
70,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +548; p.atk +116; Allow basic attack to hit around in 150 range (max 10 targets);",0,390,[warrior_weapon_mastery]
72,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +582; p.atk +123; Allow basic attack to hit around in 150 range (max 10 targets);",0,650,[warrior_weapon_mastery]
74,Two-Hand Mastery,warrior_blunt_mastery,passive,blunt/2,,0,0,self/single,0,0,0,"With 2h blunt: crit dmg +615; p.atk +130; Allow basic attack to hit around in 150 range (max 10 targets);",0,880,[warrior_weapon_mastery]
,,,,,,,,,,,,,,,,,----------------------------Final Stand----------------------------
40,Final Stand,warrior_final_stand,Passive,,,0,0,self/single,0,0,0,"When hp is below 75% increase P.Atk with 5%, when HP is below 50% increase P.Atk with 10%, when HP is below 25% increase P.Atk with 20% and acc +2",0,28
52,Final Stand,warrior_final_stand,Passive,,,0,0,self/single,0,0,0,"When hp is below 75% increase P.Atk with 7%, when HP is below 50% increase P.Atk with 15% and acc +2, when HP is below 25% increase P.Atk with 25% and acc +4",0,74
60,Final Stand,warrior_final_stand,Passive,,,0,0,self/single,0,0,0,"When hp is below 75% increase P.Atk with 10% and acc +2, when HP is below 50% increase P.Atk with 20% and acc +4, when HP is below 25% increase P.Atk with 30% and acc +8",0,120
,,,,,,,,,,,,,,,,,----------------------HP Boost----------------------
43,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +400",0,42,[],,
49,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +500",0,65,[],,
55,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +600",0,80,[],,
62,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +700",0,170,[],,
66,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +800",0,280,[],,
70,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +900",0,390,[],,
74,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +1000",0,880,[],,
,,,,,,,,,,,,,,,,,----------------------HP Regeneration----------------------
43,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +1.4; When sitting Hp regen +1, Mp regen +2.0;",0,42,[],,
49,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +1.5; When sitting Hp regen +1, Mp regen +2.0;",0,65,[],,
55,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +1.6; When sitting Hp regen +1, Mp regen +2.0;",0,80,[],,
62,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +1.7; When sitting Hp regen +3, Mp regen +2.5;",0,170,[],,
66,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +1.8; When sitting Hp regen +3, Mp regen +2.5;",0,280,[],,
70,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +1.9; When sitting Hp regen +5, Mp regen +3.0;",0,390,[],,
74,HP Regeneration,warrior_hp_regeneration,Passive,,,0,0,self/single,0,0,0,"Increase Hp regen +2.0; When sitting Hp regen +5, Mp regen +3.0;",0,880,[],,
,,,,,,,,,,,,,,,,,----------------------------Overpower----------------------------
40,Overpower,overpower,passive,,,0,0,self/single,0,0,0,double rate 7% - skills marked [Double] strike for DOUBLE damage that often - scales with ATK - without this passive NO skill can double,0,28,[],
,,,,,,,,,,,,,,,,,----------------------------Battle Regeneration----------------------------
40,Battle Regeneration,battle_regeneration,heal,,,0,0,self/single,0.5,90,0,restores 15% of max hp,0,28
49,Battle Regeneration,battle_regeneration,heal,,,0,0,self/single,0.5,90,0,restores 20% of max hp,0,65
58,Battle Regeneration,battle_regeneration,heal,,,0,0,self/single,0.5,90,0,restores 25% of max hp,0,88
64,Battle Regeneration,battle_regeneration,heal,,,0,0,self/single,0.5,90,0,restores 30% of max hp,0,190
70,Battle Regeneration,battle_regeneration,heal,,,0,0,self/single,0.5,90,0,restores 35% of max hp,0,390
,,,,,,,,,,,,,,,,,----------------------------Battle Resilience----------------------------
49,Battle Resilience,battle_resilience,physical buff,,,0,0,self/single,0.5,150,60,"Increase resistance to Stun/Shock, Hold/Bind and Buff-Removal Attacks with 60%;",40,65
62,Battle Resilience,battle_resilience,physical buff,,,0,0,self/single,0.5,150,60,"Increase resistance to Stun/Shock, Hold/Bind and Buff-Removal Attacks with 80%;",60,170
,,,,,,,,,,,,,,,,,----------------------------Monster Knowlegee----------------------------
40,Monster Knowlege,monster_knowledge_active,physical buff,,,0,0,self/single,1,5,600,Increase PVE Dmg with 10%,40,28
46,Monster Knowlege,monster_knowledge_active,physical buff,,,0,0,self/single,1,5,600,Increase PVE Dmg with 15%,40,40
52,Monster Knowlege,monster_knowledge_active,physical buff,,,0,0,self/single,1,5,600,Increase PVE Dmg with 20%,40,42
58,Monster Knowlege,monster_knowledge_active,physical buff,,,0,0,self/single,1,5,600,Increase PVE Dmg with 25%,40,88
64,Monster Knowlege,monster_knowledge_active,physical buff,,,0,0,self/single,1,5,600,Increase PVE Dmg with 30%,40,190
,,,,,,,,,,,,,,,,,----------------------------Charge----------------------------
40,Charge,warrior_charge,physical/active,sword|blunt/2,,400,0,target/single,0.5,5,1,Charges to enemy; Min charge distance 150,40,28
,,,,,,,,,,,,,,,,,----------------------------Battle Regeneration----------------------------
70,Battle Revival,waraoe_battle_revival,heal,,,0,0,self/single,0,300,0,Instantly heals to full HP,0,390
,,,,,,,,,,,,,,,,,----------------------------Life Support----------------------------
60,Life support,waraoe_life_support,Passive,,,0,0,self/single,0,15,10,"10% chance to heal for 5% max HP, and leave lingering 50/s healing effect",0,120,[],Elf
66,Life support,waraoe_life_support,Passive,,,0,0,self/single,0,15,10,"15% chance to heal for 7% max HP, and leave lingering 100/s healing effect",0,280,[],Elf
74,Life support,waraoe_life_support,Passive,,,0,0,self/single,0,15,10,"20% chance to heal for 10% max HP, and leave lingering 150/s healing effect",0,880,[],Elf
,,,,,,,,,,,,,,,,,----------------------------Blood Support----------------------------
60,Blood support,waraoe_blood_support,Passive,,,0,0,self/single,0,15,10,"10% chance to heal for 5% max HP, and leave lingering 3% vampiric effect",0,120,[],Demon
66,Blood support,waraoe_blood_support,Passive,,,0,0,self/single,0,15,10,"15% chance to heal for 7% max HP, and leave lingering 6% vampiric effect",0,280,[],Demon
74,Blood support,waraoe_blood_support,Passive,,,0,0,self/single,0,15,10,"20% chance to heal for 10% max HP, and leave lingering 9% vampiric effect",0,880,[],Demon
,,,,,,,,,,,,,,,,,----------------------------Vanguard Support----------------------------
60,Vanguard support,waraoe_support,Passive,,,0,0,self/single,0,15,10,"10% chance to heal for 5% max HP, and leave lingering 1% vampiric and 17/s healing effect",0,120,[],Human
66,Vanguard support,waraoe_support,Passive,,,0,0,self/single,0,15,10,"15% chance to heal for 7% max HP, and leave lingering 2% vampiric and 33/s healing effect",0,280,[],Human
74,Vanguard support,waraoe_support,Passive,,,0,0,self/single,0,15,10,"20% chance to heal for 10% max HP, and leave lingering 3% vampiric and 50/s healing effect",0,880,[],Human
,,,,,,,,,,,,,,,,,---------------------------Shocking Shout----------------------------
40,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +1000 power and Stuns around for 5s, Cannot be blocked, Can double;",36,28,,
43,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +1200 power and Stuns around for 5s, Cannot be blocked, Can double;",40,35,,
46,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +1400 power and Stuns around for 5s, Cannot be blocked, Can double;",43,40,,
49,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +1600 power and Stuns around for 5s, Cannot be blocked, Can double;",45,50,,
52,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +1800 power and Stuns around for 5s, Cannot be blocked, Can double;",47,74,,
55,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +2000 power and Stuns around for 5s, Cannot be blocked, Can double;",50,80,,
58,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +2400 power and Stuns around for 5s, Cannot be blocked, Can double;",55,88,,
60,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +2600 power and Stuns around for 5s, Cannot be blocked, Can double;",56,120,,
62,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +2800 power and Stuns around for 5s, Cannot be blocked, Can double;",58,170,,
64,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +3000 power and Stuns around for 5s, Cannot be blocked, Can double;",62,190,,
66,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +3200 power and Stuns around for 5s, Cannot be blocked, Can double;",65,280,,
68,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +3400 power and Stuns around for 5s, Cannot be blocked, Can double;",68,320,,
70,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +3600 power and Stuns around for 5s, Cannot be blocked, Can double;",70,390,,
72,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +3800 power and Stuns around for 5s, Cannot be blocked, Can double;",75,650,,
74,Shocking Shout,waraoe_shock_shout,Physical/Active,blunt/2,,0,200,enemy/aoe,1,5,5,"Shouts to do Physical damage with +4000 power and Stuns around for 5s, Cannot be blocked, Can double;",78,880,,
,,,,,,,,,,,,,,,,,---------------------------Wirlwind----------------------------
40,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +300 power 20 times over 4s, Cannot be blocked, Can double;",36,28,[]
43,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +415 power 20 times over 4s, Cannot be blocked, Can double;",40,35,[]
46,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +525 power 20 times over 4s, Cannot be blocked, Can double;",43,40,[]
49,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +640 power 20 times over 4s, Cannot be blocked, Can double;",45,50,[]
52,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +715 power 20 times over 4s, Cannot be blocked, Can double;",47,74,[]
55,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +825 power 20 times over 4s, Cannot be blocked, Can double;",50,80,[]
58,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +940 power 20 times over 4s, Cannot be blocked, Can double;",55,88,[]
60,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +1125 power 20 times over 4s, Cannot be blocked, Can double;",56,120,[]
62,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +1240 power 20 times over 4s, Cannot be blocked, Can double;",58,170,[]
64,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +1350 power 20 times over 4s, Cannot be blocked, Can double;",62,190,[]
66,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +1465 power 20 times over 4s, Cannot be blocked, Can double;",65,280,[]
68,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +1540 power 20 times over 4s, Cannot be blocked, Can double;",68,320,[]
70,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +900 power 20 times over 4s, Cannot be blocked, Can double;",70,390,[]
72,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +950 power 20 times over 4s, Cannot be blocked, Can double;",75,650,[]
74,Wirlwind,waraoe_wirlwind,Physical/Active,blunt/2,,0,200,enemy/aoe,0.5,8,4,"Deals Physical damage with +1000 power 20 times over 4s, Cannot be blocked, Can double;",78,880,[]
,,,,,,,,,,,,,,,,,---------------------------Taunting Shout----------------------------
52,Taunting Shout,waraoe_taunting_shout,Physical/Debuf,blunt/2,,0,600,enemy/aoe,1,20,30,"Shouts to do provoke enemies in a large area and make them vunarable to bludgering attacks (10% more dmg from blunts);",50,74,,
74,Taunting Shout,waraoe_taunting_shout,Physical/Debuf,blunt/2,,0,800,enemy/aoe,1,20,30,"Shouts to do provoke enemies in a large area and make them vunarable to bludgering attacks (20% more dmg from blunts);",60,74,,
,,,,,,,,,,,,,,,,,---------------------------Shout----------------------------
40,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 10%;",36,28,[smash],Human,Single debuff x1.5
43,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 13%;",40,35,[smash],Human
46,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 16%;",43,40,[smash],Human
49,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 19%;",45,50,[smash],Human
52,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 21%;",47,74,[smash],Human
55,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 23%;",50,80,[smash],Human
58,Shattaring Shout,waraoe_human_shout,Physical/Debuf,blunt/2,,0,200,enemy/aoe,1,10,15,"Decrease P.Def of Enemies with 23%;",55,88,[smash],Human
