SKILL,SKILL_ID,CLASS,DESCR,SAVE,SUCCESS,SHAPE,IN_CODE
Acoustic Shock,acoustic_shock,Warchanter(Demon),Stun +100%,CON,1,dmg+1 debuff,1
Arcane Burst,arcane_burst,Magus(Human),SPT resist -40%,SPT,1.5,dmg+1 debuff,1.5
Arcane Void,arcane_void,Magus(Human),cancels 2 buff(s),SPT,0.3,DEBUFF ONLY (1),0.3
Armor Break,armor_break,Lightbringer(Demon),M.Def -20%; P.Def -40%,SPT,1.5,DEBUFF ONLY (2),1.5
Bind,bind,Lightbringer(Elf),Root,SPT,0.8,DEBUFF ONLY (1),0.8
Binding Trap,binding_trap,Trapper(Elf),Root,CON,1,DEBUFF ONLY (1),1
Bleeding,archer_focus_bleed_1,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Bleed DoT (+ its family rider); Slow -15%,CON,1,dmg+2 debuffs,1
Bleeding,archer_focus_bleed_2,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Bleed DoT (+ its family rider); Slow -15%,CON,1,dmg+2 debuffs,1
Bleeding,archer_focus_bleed_3,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Bleed DoT (+ its family rider); Slow -15%,CON,1,dmg+2 debuffs,1
Bleeding Arrow,bleeding_arrow,Hunter(Demon),Bleed DoT (+ its family rider),CON,1,dmg+1 debuff,1
Bleeding Trap,bleeding_trap,Hunter(Demon),Bleed DoT (+ its family rider),CON,1,DEBUFF ONLY (1),1
Boss's Judgment,boss_judgment,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Stun,none (fizzle roll),1,DEBUFF ONLY (1),1
Boss's Judgment,boss_judgment_mark,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",(no payload on the def - CHECK IT),none (fizzle roll),1,DEBUFF ONLY (1),1
Breaking Shout,breaking_shout,Warlord(Demon),P/M.Atk -15%,CON,1.5,DEBUFF ONLY (1),1.5
Charge n Shock,charge_n_shock,Warlord,charge; Stun,CON,1,DEBUFF ONLY (1),1
Charm,charm,Bulwark(Elf) | Tank(Elf) | Vanguard(Elf),charm; taunt,SPT,0.7,DEBUFF ONLY (1),0.7
Chilled,nuker_empower_elf_curse_1,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",M.Def -10%; Slow -30%,none (fizzle roll),1,DEBUFF ONLY (2),1
Chilled,nuker_empower_elf_curse_2,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",M.Def -10%; Slow -30%,none (fizzle roll),1,DEBUFF ONLY (2),1
Chilled,nuker_empower_elf_curse_3,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",M.Def -10%; Slow -30%,none (fizzle roll),1,DEBUFF ONLY (2),1
Creeping Frost,creeping_frost,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Stun; Slow,SPT,1,DEBUFF ONLY (2),1
Crippling Shout,crippling_shout,Warlord(Elf),Atk.Spd -30%; Cast.Spd -30%; Slow -30%,CON,1.5,DEBUFF ONLY (3),1.5
Dazzling Arrow,dazzling_arrow,Sharpshooter(Human),cancels 3 buff(s); Stun,CON,1,dmg+2 debuffs,1
Demonic Pain,demon_pain,Archer(Demon) | Bulwark(Demon) | Hunter(Demon) | Nullblade(Demon) | Phantom(Demon) | Ravager(Demon) | Rogue(Demon) | Sharpshooter(Demon) | Tank(Demon) | Trapper(Demon) | Vanguard(Demon) | Venomweaver(Demon) | Warlord(Demon) | Warrior(Demon),Bleed DoT (+ its family rider),CON,1.5,DEBUFF ONLY (1),1.5
Devastating Slam,devastating_slam,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Stun,CON,1,dmg+1 debuff,1
Entangling Roots,entangling_roots,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Root,SPT,0.5,DEBUFF ONLY (1),0.5
Envenom,envenom,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Venom DoT (+ its family rider),CON,1,dmg+1 debuff,1
Freeze,freeze,Bulwark(Elf),Slow -65%,SPT,1,DEBUFF ONLY (1),1
Frost Bind,frost_bind,"(NOT LEARNABLE - boss/whisp/proc, or orphaned by the 40+ purge)",Slow -50%,SPT,1,DEBUFF ONLY (1),1
Frost Burst,frost_burst,Magus(Elf),M.Def -35%; Root,SPT,1.5,dmg+2 debuffs,1.5
Frost Pierce,frost_pierce,Magus(Elf),Bleed DoT (+ its family rider),CON,0.85,dmg+1 debuff,0.85
Frost Spikes,frost_spikes,Magus(Elf),Slow -45%,SPT,0.85,dmg+1 debuff,0.85
Grapple,grapple,Bulwark,pull; Stun,CON,1,dmg+2 debuffs,1
Gravity,gravity,Lightbringer(Human),Atk.Spd -30%; Cast.Spd -30%,SPT,1,DEBUFF ONLY (2),1
