ID,Name,Level,Type,(P) HP,(P) MP,(P) P_Def,(P) M_Def,P_Atk,M_Atk,Run_Speed,Cast_Speed
20001,Ridgeback Pup,1,Animal,40,12,38,29,7,3,120,333
20005,Fox,4,Animal,52,22,46,36,11,4,125,333
20012,Goblin Scout,8,Humanoid,91,35,57,45,18,8,132,333
20311,Ashen Wolf,10,Animal,120,40,63,50,23,10,140,333
20015,Werewolf,12,Humanoid,155,52,70,56,29,13,132,333
20402,Hook Spider,14,Insect,196,60,77,62,35,16,130,333
20023,Orc Archer,16,Humanoid,244,75,85,68,43,20,132,333
20512,Skeleton Grunt,18,Undead,299,90,93,75,52,24,120,333
20035,Shield Skeleton,20,Undead,360,112,101,82,63,29,115,333
20415,Grizzly Bear,22,Animal,427,130,110,89,75,35,135,333
20042,Cinder Imp,24,Demon,500,155,120,97,88,42,142,333
20520,Watcher Eye,26,Magic Creature,580,180,130,105,104,50,130,333
20054,Lizardman Warrior,28,Humanoid,667,210,140,113,122,59,132,333
20422,Marauder Recruit,30,Humanoid,760,240,151,122,142,70,132,333
20061,Mantis Worker,32,Insect,859,280,162,132,164,82,140,333
20603,Medusa,34,Humanoid,964,320,175,142,189,95,132,333
20073,Wyrm,35,Dragon,1020,340,181,147,203,102,150,333
20435,Marsh Mantis Soldier,37,Insect,1135,390,194,157,232,118,140,333
20082,Fen Lizardman Archer,39,Humanoid,1256,440,207,168,265,136,132,333
20551,Rift Portling,40,Magic Creature,1320,440,214,174,283,146,110,333
20090,Ridge Orc Overlord,42,Humanoid,1451,540,228,185,321,167,132,333
20452,Grave Lich,44,Undead,1588,600,243,197,363,190,120,333
20112,Fomor Brute,45,Humanoid,1660,630,251,204,385,203,132,333
20612,Warped Drake,47,Dragon,1807,700,267,216,433,230,150,333
20120,Wildhorn Grunt,48,Humanoid,1883,730,275,223,459,245,132,333
20465,Ravener,50,Demon,2040,810,291,236,515,276,145,333
20135,Marauder Warrior,51,Humanoid,2120,850,300,243,544,293,132,333
20625,Thornback,53,Animal,2287,940,318,257,607,330,135,333
20142,Ash Orc Soldier,55,Humanoid,2460,1040,336,272,675,370,132,333
20515,Hall of Mirrors Wraith,56,Undead,2548,1090,346,279,712,391,125,333
20155,Dune Orc Porter,57,Humanoid,2639,1140,355,287,750,413,132,333
20651,Aether Wisp,58,Magic Creature,2731,1190,365,295,789,437,115,333
20162,Valley Treant,60,Plant,2920,1310,385,311,873,486,90,333
20522,Cursed Blade,61,Undead,3016,1370,395,319,918,513,130,333
20170,Bogwood,62,Plant,3115,1430,405,327,964,540,90,333
20670,Obsidian Knight,63,Humanoid,3215,1500,416,336,1012,569,132,333
20182,Crimson Drake,64,Dragon,3316,1560,427,344,1061,599,150,333
20535,Dread Knight,65,Undead,3420,1630,438,353,1113,631,135,333
20195,Wildhorn Elder,66,Humanoid,3524,1700,449,361,1167,663,132,333
20682,Highland Kookaburra,67,Animal,3631,1780,460,370,1222,697,135,333
20202,Highland Buffalo,68,Animal,3739,1850,472,379,1280,732,130,333
20542,Dread Archer,69,Undead,3848,1930,483,389,1340,769,132,333
20215,Dire Beast,70,Animal,3960,2010,495,398,1402,807,140,333
20701,Revenant Minion,71,Demon,4072,2090,507,407,1466,846,145,333
20224,Redhorn Footman,72,Humanoid,4187,2180,519,417,1532,888,132,333
20560,Sunland Orc Scout,73,Humanoid,4303,2260,532,427,1601,930,138,333
20235,Redhorn Recruit,74,Humanoid,4420,2350,544,436,1672,974,132,333
20712,Sunland Orc Warrior,75,Humanoid,4540,2440,557,446,1746,1020,132,333
20242,Redhorn Soldier,76,Humanoid,4660,2540,570,457,1822,1068,132,333
20575,Sunland Orc Captain,77,Humanoid,4783,2630,583,467,1900,1118,132,333
20251,Redhorn General,78,Humanoid,4907,2730,596,477,1981,1169,132,333
20725,Emberwyrm Drake,79,Dragon,5032,2830,610,488,2065,1222,155,333
20260,Wrathborn Demon,80,Demon,5160,2940,624,498,2152,1277,145,333
20801,Radiant Scout,81,Angel,5288,3050,638,509,2241,1334,140,333
20272,Radiant Berserker,82,Angel,5419,3160,652,520,2334,1393,135,333
20815,Splinter Mantis Drone,83,Insect,5551,3280,666,531,2429,1454,142,333
20285,Needle Mantis Overseer,84,Insect,5684,3400,681,543,2527,1517,140,333
20830,Drake Leader,85,Dragon,5820,3520,695,554,2629,1582,150,333
20290,Grave Robber Fighter,32,Humanoid,859,280,162,132,164,82,132,333
20295,Plunder Beetle,34,Insect,964,320,175,142,189,95,140,333
20300,Dune Orc Archer,40,Humanoid,1320,440,214,174,283,146,132,333
20305,Harpy,42,Humanoid,1451,540,228,185,321,167,138,333
20320,Marsh Marauder,46,Humanoid,1732,665,259,210,409,216,132,333
20325,Amber Basilisk,48,Animal,1883,730,275,223,459,245,120,333
20330,Mantis Follower,50,Insect,2040,810,291,236,515,276,140,333
20335,Fallen Angel,52,Demon,2203,895,309,250,575,311,135,333
20340,Gaze Hound,54,Animal,2372,990,327,265,640,349,140,333
20345,Mirror Ghost,56,Undead,2548,1090,346,279,712,391,125,333
20350,Hollow One,58,Humanoid,2731,1190,365,295,789,437,132,333
20355,Sand Ratman,60,Humanoid,2920,1310,385,311,873,486,132,333
20360,Fen Lizardman,62,Humanoid,3115,1430,405,327,964,540,132,333
20365,Wildhorn Scout,64,Humanoid,3316,1560,427,344,1061,599,138,333
20370,Spiteful Ghost,66,Undead,3524,1700,449,361,1167,663,125,333
20375,Highland Buffalo (Tamed),68,Animal,3739,1850,472,379,1280,732,130,333
20380,Redhorn Elite,73,Humanoid,4303,2260,532,427,1601,930,132,333
20385,Sunland Orc Commander,76,Humanoid,4660,2540,570,457,1822,1068,132,333
20390,Scarlet Mantis,80,Insect,5160,2940,624,498,2152,1277,142,333
20395,Radiant Mage,82,Angel,5419,3160,652,520,2334,1393,132,333
20400,Splinter Mantis Walker,84,Insect,5684,3400,681,543,2527,1517,142,333
20410,Disciple of the Dawn,85,Humanoid,5820,3520,695,554,2629,1582,132,333
