ID,Name,Level,Type,Specialty,Drops (Common / rare / recipe / part),Base mats (primary / secondary),Metal,Volcanic,Common per kill %,Recipe per kill (normal)
ridgeback_pup,Ridgeback Pup,1,Animal,-,,,,,,
fox,Fox,4,Animal,-,,,,,,
goblin_scout,Goblin Scout,8,Humanoid,-,,,,,,
ashen_wolf,Ashen Wolf,10,Animal,-,,,,,,
werewolf,Werewolf,12,Humanoid,-,,,,,,
hook_spider,Hook Spider,14,Insect,-,,,,,,
orc_archer,Orc Archer,16,Humanoid,-,,,,,,
skeleton_grunt,Skeleton Grunt,18,Undead,-,,,,,,
shield_skeleton,Shield Skeleton,20,Undead,-,,,,,,
grizzly_bear,Grizzly Bear,22,Animal,-,,,,,,
cinder_imp,Cinder Imp,24,Demon,-,,,,,,
watcher_eye,Watcher Eye,26,MagicCreature,-,,,,,,
lizardman_warrior,Lizardman Warrior,28,Humanoid,-,,,,,,
marauder_recruit,Marauder Recruit,30,Humanoid,-,,,,,,
grave_robber_fighter,Grave Robber Fighter,32,Humanoid,-,,,,,,
mantis_worker,Mantis Worker,32,Insect,-,,,,,,
medusa,Medusa,34,Humanoid,-,,,,,,
plunder_beetle,Plunder Beetle,34,Insect,-,,,,,,
wyrm,Wyrm,35,Dragon,-,,Iron / Gem,,,,
marsh_mantis_soldier,Marsh Mantis Soldier,37,Insect,-,,Thread / Leather,,,,
fen_lizardman_archer,Fen Lizardman Archer,39,Humanoid,-,,Iron / Thread,,,,
dune_orc_archer,Dune Orc Archer,40,Humanoid,Weapons,bow / wand,Iron / Thread,Nightsilver,,1,100% 1/100
harpy,Harpy,42,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,6.5,100% 1/100
ridge_orc_overlord,Ridge Orc Overlord,42,Humanoid,Weapons,blunt1h / duals,Iron / Thread,Nightsilver,,1,100% 1/100
grave_lich,Grave Lich,44,Undead,SmallArmour,helm / gloves / boots / shield,Thread / Gem,Nightsilk,,6.5,100% 1/100
fomor_brute,Fomor Brute,45,Humanoid,Weapons,blunt2h,Iron / Thread,Nightsilver,,1,100% 1/100
marsh_marauder,Marsh Marauder,46,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,6.5,100% 1/100
warped_drake,Warped Drake,47,Dragon,Jewellery,necklace / ring / earring,Iron / Gem,Nightsilver,,5.25,100% 1/100
amber_basilisk,Amber Basilisk,48,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,1.25,100% 1/100
wildhorn_grunt,Wildhorn Grunt,48,Humanoid,Weapons,sword2h,Iron / Thread,Nightsilver,,1,100% 1/100
mantis_follower,Mantis Follower,50,Insect,Body,heavy / light / robe,Thread / Leather,Nightsilk,,1.25,100% 1/100
ravener,Ravener,50,Demon,Jewellery,necklace / ring / earring,Iron / Gem,Nightsilver,,5.25,100% 1/100
marauder_warrior,Marauder Warrior,51,Humanoid,Weapons,sword1h / staff,Iron / Thread,Nightsilver,,1,100% 1/100
fallen_angel,Fallen Angel,52,Demon,Weapons,sword1h / staff,Iron / Gem,Nightsilver,,0.2,100% 1/175
thornback,Thornback,53,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.4,100% 1/175
gaze_hound,Gaze Hound,54,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.4,100% 1/175
ash_orc_soldier,Ash Orc Soldier,55,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,2.8,100% 1/175
mirror_ghost,Mirror Ghost,56,Undead,Weapons,sword2h,Thread / Gem,Nightsilver,,0.2,100% 1/175
mirror_wraith,Hall of Mirrors Wraith,56,Undead,Weapons,wand,Thread / Gem,Nightsilver,,0.2,100% 1/175
dune_orc_porter,Dune Orc Porter,57,Humanoid,Weapons,duals,Iron / Thread,Nightsilver,,0.2,100% 1/175
aether_wisp,Aether Wisp,58,MagicCreature,Jewellery,necklace / ring / earring,Gem / Wood,Nightsilver,,2.4,100% 1/175
gloomhusk_treant,Gloomhusk Treant,58,Plant,Body,heavy / light / robe,Wood / Leather,Nightsilk,,0.4,100% 1/175
hexward_golem,Hexward Golem,58,MagicCreature,Jewellery,necklace / ring / earring,Gem / Wood,Nightsilver,,2.4,100% 1/175
hollow_one,Hollow One,58,Humanoid,Weapons,blunt2h,Iron / Thread,Nightsilver,,0.2,100% 1/175
