ID,Name,Level,Type,(P) HP,(P) MP,(P) P_Def,(P) M_Def,P_Atk,M_Atk,Run_Speed,Cast_Speed
20001,Ridgeback Pup,1,Animal,42,12,8,5,4,2,120,333
20005,Fox,4,Animal,68,22,12,9,7,4,125,333
20012,Goblin Scout,8,Humanoid,110,35,18,14,14,9,132,333
20311,Ashen Wolf,10,Animal,145,40,22,16,18,12,140,333
20015,Werewolf,12,Humanoid,180,52,26,20,23,15,132,333
20402,Hook Spider,14,Insect,210,60,31,24,28,19,130,333
20023,Orc Archer,16,Humanoid,250,75,36,28,34,23,132,333
20512,Skeleton Grunt,18,Undead,310,90,42,32,41,27,120,333
20035,Shield Skeleton,20,Undead,394,112,49,38,48,32,115,333
20415,Grizzly Bear,22,Animal,480,130,56,43,56,38,135,333
20042,Cinder Imp,24,Demon,590,155,64,50,65,44,142,333
20520,Watcher Eye,26,Magic Creature,680,180,72,56,75,51,130,333
20054,Lizardman Warrior,28,Humanoid,810,210,81,64,86,59,132,333
20422,Marauder Recruit,30,Humanoid,940,240,90,71,98,67,132,333
20061,Mantis Worker,32,Insect,1100,280,101,79,112,77,140,333
20603,Medusa,34,Humanoid,1320,320,111,88,127,87,132,333
20073,Wyrm,35,Dragon,1420,340,118,92,135,93,150,333
20435,Marsh Mantis Soldier,37,Insect,1650,390,130,102,152,105,140,333
20082,Fen Lizardman Archer,39,Humanoid,1910,440,143,112,171,118,132,333
20551,Rift Portling,40,Magic Creature,7040,490,314,142,181,125,110,333
20090,Ridge Orc Overlord,42,Humanoid,2350,540,165,130,203,141,132,333
20452,Grave Lich,44,Undead,2620,600,179,141,228,158,120,333
20112,Fomor Brute,45,Humanoid,2780,630,187,147,241,167,132,333
20612,Warped Drake,47,Dragon,3100,700,201,159,269,187,150,333
20120,Wildhorn Grunt,48,Humanoid,3280,730,209,165,284,197,132,333
20465,Ravener,50,Demon,3650,810,226,179,316,220,145,333
20135,Marauder Warrior,51,Humanoid,3850,850,234,185,333,232,132,333
20625,Thornback,53,Animal,4300,940,251,199,370,258,135,333
20142,Ash Orc Soldier,55,Humanoid,4800,1040,269,213,410,286,132,333
20515,Hall of Mirrors Wraith,56,Undead,5050,1090,278,221,431,301,125,333
20155,Dune Orc Porter,57,Humanoid,5320,1140,288,229,454,317,132,333
20651,Aether Wisp,58,Magic Creature,5600,1190,297,236,478,334,115,333
20162,Valley Treant,60,Plant,6200,1310,317,252,529,370,90,333
20522,Cursed Blade,61,Undead,6520,1370,327,260,556,389,130,333
20170,Bogwood,62,Plant,6850,1430,337,268,584,409,90,333
20670,Obsidian Knight,63,Humanoid,7200,1500,347,276,613,429,132,333
20182,Crimson Drake,64,Dragon,7550,1560,358,285,644,451,150,333
20535,Dread Knight,65,Undead,7920,1630,368,293,675,473,135,333
20195,Wildhorn Elder,66,Humanoid,8300,1700,379,302,708,496,132,333
20682,Highland Kookaburra,67,Animal,8700,1780,391,311,742,520,135,333
20202,Highland Buffalo,68,Animal,9100,1850,402,320,777,545,130,333
20542,Dread Archer,69,Undead,9520,1930,414,329,814,571,132,333
20215,Dire Beast,70,Animal,10000,2010,426,339,852,598,140,333
20701,Revenant Minion,71,Demon,10400,2090,438,349,892,626,145,333
